,RoundCode,SessionCode,maxRed,maxBlue,maxGreen,maxOrange,maxPurple,maxYellow,maxMagenta,maxBlack,maxCyan,maxPink,maxSilver,maxTeal,maxBeige,maxOlive,maxBrown,totalClicks,Time1move,Time2move,Time3move,Time4move,Time5move,Time6move
215,9,6vas0mym,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,7.713,2.422,3.825,2.584,2.722,4.605
216,10,6vas0mym,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,5.227,3.392,3.276,2.106,3.045,4.433
217,11,6vas0mym,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,20,4.296,4.481,6.801,2.074,2.484,3.595
218,12,6vas0mym,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,4.583,2.082,3.17,5.04,2.938,4.676
219,13,6vas0mym,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.363,2.321,2.421,2.337,2.606,3.445
220,14,6vas0mym,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,14,4.051,2.191,3.034,2.332,2.648,6.203
221,15,6vas0mym,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,11,4.78,2.706,3.176,2.975,2.721,5.065
222,16,6vas0mym,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,4.395,2.275,2.76,4.452,6.014,5.867
223,17,6vas0mym,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4.094,2.29,3.254,2.469,2.691,3.555
224,2,xros1iar,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,8,8.872,13.128,9.141,12.85,4.549,4.865
225,3,xros1iar,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,12,3.492,8.917,3.43,6.984,4.958,5.691
226,4,xros1iar,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,7.228,8.804,3.547,6.184,2.908,3.463
227,5,xros1iar,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3.324,12.646,2.954,4.705,2.854,3.973
228,6,xros1iar,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,8,5.113,7.985,7.906,6.602,6.316,3.873
229,7,xros1iar,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,5.506,6.724,5.274,4.68,3.862,3.307
230,8,xros1iar,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,9,3.424,11.075,3.255,9.803,4.644,4.343
231,9,xros1iar,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12.064,10.306,6.436,12.111,3.445,2.675
232,10,xros1iar,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,7,3.756,5.622,3.34,4.38,3.109,2.755
233,11,xros1iar,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,9,7.975,6.087,10.597,4.164,3.429,2.275
234,12,xros1iar,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,12,5.174,5.497,2.79,3.709,2.752,2.452
235,13,xros1iar,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9.192,5.914,2.491,3.64,3.293,10.477
236,14,xros1iar,0,0,2,3,0,0,0,0,5,0,0,0,0,0,0,12,3.985,8.601,3.869,6.307,3.354,3.492
237,15,xros1iar,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,6.027,7.57,9.642,3.778,3.577,2.291
238,16,xros1iar,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,10,6.277,5.614,2.823,5.09,5.144,3.239
239,17,xros1iar,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8.588,6.231,6.053,6.5,4.078,2.16
240,2,1gdrtht3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,8,6.583,7.804,3.33,5.713,3.385,8.217
241,3,1gdrtht3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,24,6.436,6.637,2.807,9.166,6.314,2.528
242,4,1gdrtht3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,3.375,6.425,2.573,3.575,3.991,4.962
243,5,1gdrtht3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.29,7.667,2.391,6.401,2.554,4.316
244,6,1gdrtht3,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,9,3.509,6.618,3.794,5.23,3.409,6.988
245,7,1gdrtht3,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,15,4.087,6.508,5.876,2.587,2.367,2.336
246,8,1gdrtht3,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,8,4.126,6.394,3.325,2.67,3.688,3.124
247,9,1gdrtht3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,3.06,6.298,3.117,3.323,3.513,2.321
248,10,1gdrtht3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,2.96,5.429,3.192,2.274,5.6,2.891
249,11,1gdrtht3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,23,2.29,3.778,3.709,2.305,1.719,1.973
250,12,1gdrtht3,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,9,3.192,5.983,2.753,2.112,2.073,8.102
251,13,1gdrtht3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.021,3.923,4.708,3.438,1.874,5.828
